,location,long,lat
771,,,
772,,,
773,,,
774,,,
775,,,
776,,,
777,,,
778,,,
779,,,
780,,,
781,,,
782,,,
783,,,
784,,,
785,,,
786,,,
787,,,
788,,,
789,,,
790,,,
791,,,
792,,,
793,,,
794,,,
795,,,
796,,,
797,,,
798,,,
799,,,
800,,,
801,,,
802,,,
803,,,
804,,,
805,,,
806,,,
807,,,
808,,,
809,,,
810,,,
811,,,
812,,,
813,,,
814,,,
815,,,
816,,,
817,,,
818,,,
819,,,
820,,,
821,,,
822,,,
823,,,
824,,,
825,,,
826,,,
827,,,
828,,,
829,Hartford CT,-72.0243982,41.3403944
830,Global,-79.34914879325001,43.7283874
831,Minneapolis MN,-93.2654692,44.9772995
832,Istanbul Turkey,8.5578947,45.7581012
833,New Delhi,77.2090057,28.6138954
834,,,
835,All Over the World,5.8641598,51.8448838
836,Canada,-107.991707,61.0666922
837,New York NY,-74.0060152,40.7127281
838,Orange County CA,-117.8704931,33.7500378
839,,,
840,,,
841,Minneapolis MN,-93.2654692,44.9772995
842,Minneapolis MN,-93.2654692,44.9772995
843,Kansas USA,-98.5821872,38.27312
844,India Bangladesh Vietnam,,
845,India,78.6677428,22.3511148
846,,,
847,,,
848,New Mexico USA,-105.993007,34.5708167
849,,,
850,,,
851,,,
852,,,
853,,,
854,,,
855,,,
856,,,
857,,,
858,,,
859,Seoul SKorea,,
860,Mumbai,72.878176,19.0785451
861,Berlin,13.3888599,52.5170365
862,India,78.6677428,22.3511148
863,New Delhi,77.2090057,28.6138954
864,,,
865,India,78.6677428,22.3511148
866,,,
867,Uruguay,-56.0201525,-32.8755548
868,Hyderabad,78.46106473453146,17.38878595
869,,,
870,,,
871,India,78.6677428,22.3511148
872,New Delhi,77.2090057,28.6138954
873,New York,-74.0060152,40.7127281
874,New Delhi India,77.2090057,28.6138954
875,Detroit,-83.0466403,42.3315509
876,,,
877,Atlanta GA,-84.3902644,33.7489924
878,San Francisco CA,-122.419906,37.7790262
879,,,
880,Mumbai,72.878176,19.0785451
881,Atlanta GA,-84.3902644,33.7489924
882,Paris France,2.3200410217200766,48.8588897
883,Minneapolis MN,-93.2654692,44.9772995
884,United States,-100.445882,39.7837304
885,Los Angeles CA,-118.242766,34.0536909
886,always somewhere,,
887,,,
888,Palm Beach Gardens FL,-80.1386547,26.8233946
889,,,
890,,,
891,,,
892,,,
893,,,
894,,,
895,,,
